"jobid","education","programming languages","databases","platforms","misc tools","web frameworks","environments","workflow management","testing software","visualization software"
3272028609,unknown,go java d,,,,,,,,
3272028612,Bachelors,scala processing d java,,aws,hadoop spark,,,,,
3272029269,unknown,c,,,,,,,,
3272040802,Masters,text shell,,linux,,,,,,
3272041313,unknown,,,ibm,,,,,,
3272075905,unknown,javascript java,,docker aws,react,,,,,
3272082368,unknown,,,,,,,,,powerbi
3272084162,Masters,,elasticsearch sql mongodb,azure,,,,,,
3272087203,unknown,fortran c c++ cuda,,,machine_learning,,,,,
3272087354,unknown,go ml java python,,,machine_learning,,,,,
3272088369,unknown,ml puppet java r matlab python,sql,aws,chef tensorflow hadoop pandas spark,,,,jenkins,tableau
3272105596,unknown,go scala java,,linux,,,,,,
3272107569,unknown,c java,sql mongodb,aws,,,,,jenkins selenium,
3272124193,Masters,rich c,,,,,,,,
3272132718,unknown,reason javascript,mongodb,aws,react,,,,,
3272132826,unknown,,,,,,,jira,,
3272132834,unknown,processing typescript python,,docker kubernetes aws,tensorflow machine_learning spark,flask express angular,,,,
3272133802,unknown,c ruby scala python,,,,,,,,
3272140032,unknown,reason go php css javascript html,mysql sqlite postgresql,linux,,jquery laravel,phpstorm zend netbeans,,,
3272140078,unknown,go php css javascript,mysql sqlite,linux,,jquery laravel,,,,
3272140508,unknown,text,sql,,,,,,,
3272159903,unknown,python,,,,,,,,
3272253405,Bachelors,css d javascript java html,,ios android gcp aws kubernetes,,,,,,
3272165344,unknown,d c c++ java shell,,linux,,,,,,
3272172434,unknown,rich css nix javascript html format python,dynamodb,aws,react machine_learning,django express,,,jenkins,
3272174178,unknown,go kotlin java html,sqlite,android,flutter,,,jira,,
3272179994,Bachelors,processing c c++ shell,,linux,,,,,,
3272188287,unknown,,redis,aws,,ruby_on_rails,,,,
3272188433,unknown,,,android ios,,,,,,
3272242510,unknown,python,,aws,pytorch tensorflow pandas machine_learning,,,,,
3272247478,unknown,python,,,torch machine_learning,,,,,
3272271144,unknown,ruby rust elixir scala python,elasticsearch postgresql,aws docker,,,,,,
3272744912,unknown,c scheme typescript,sql,azure,react machine_learning,,,,,
3284824726,unknown,r python,,,machine_learning,,,,,
3272249401,Bachelors,css c++ html typescript,,gcp aws,machine_learning,,,,,
3272249806,Bachelors,,,,machine_learning,,,,,
3272250929,High School,,sql,,,,,,,tableau
3272253510,unknown,ruby java,,,,,,,,
3272266631,unknown,java,,linux windows aws,ansible,,,,,
3272270076,unknown,ruby scala python,,aws,,,,,,
3272271009,unknown,erlang go c++ java haskell scala python,,,,,,,,
3272271166,unknown,c c++ assembly python,,,machine_learning,,,,,
3272276680,unknown,ml processing d r python,,,etl machine_learning,,,,,
3272330367,unknown,python,,,,,,,,
3272386718,unknown,c c++,,,,,,,,
3272387173,unknown,processing python,sql elasticsearch postgresql,linux aws,ansible,flask,,,jenkins,
3272387260,unknown,swift java,mongodb elasticsearch,,,spring,,,,
3272455768,unknown,r scheme python,sql,,,,,,,powerbi tableau
3284825017,unknown,r python,,,machine_learning,,,,,
3284825020,unknown,r python,,,machine_learning,,,,,
3284825121,unknown,r python,,,machine_learning,,,,,
3284825158,unknown,r python,,,machine_learning,,,,,
3284825337,unknown,r python,,,machine_learning,,,,,
3272387380,unknown,go javascript vue python,sql,linux aws,machine_learning,,,,,
3272387403,unknown,processing,,,,,,,,
3272387462,Bachelors,go scheme processing,,,,,,,,
3272389852,unknown,r reason python,,,machine_learning,,,,,
3272420458,unknown,scheme,,ibm,,,,jira,,salesforce
3272420781,unknown,d r python,sql,,,spring,,,,
3272422303,unknown,go ruby javascript java vue python,,aws,react,,,,,
3284825572,Masters,,,,machine_learning,,,,,
3272595524,unknown,java,,,,,,,,
3272622178,unknown,python,sql,,,,,,,
3272622204,unknown,scala processing c++ java python,sql,aws,etl hadoop spark machine_learning,,,,,
3272622223,unknown,java,,azure gcp aws,,spring,,,,
3272778484,Bachelors,css c c++ javascript java html typescript,,,,angular,,,,
3284827486,unknown,r python,,,machine_learning,,,,,
3272623937,unknown,java r python,,gcp,machine_learning,,,,,
3272631015,unknown,jupyter r scala python,,,hadoop pandas spark,,,,,
3272688706,unknown,c c++,,linux windows,machine_learning,,,,,
3272706709,unknown,reason d c javascript java vue,mysql oracle sql,azure google_cloud aws,react,angular,,,,
3284827803,unknown,r go python,,,machine_learning,,,,,
3284827914,unknown,r go python,,,machine_learning,,,,,
3272792894,unknown,,,aws,,,,,,
3272793099,Bachelors,processing shell python,sql,,hadoop spark,,,,,tableau
3272795889,unknown,r python,sql,,,,,trello jira,,looker plotly tableau
3272800097,unknown,css text html,,,,,,,,
3272827661,unknown,,,aws,,,,,,
3272836196,unknown,d processing,mysql,,,,,,,
3272860081,unknown,c++ java asp,sql oracle,azure,,,,jira,jenkins selenium,salesforce
3272864203,Bachelors,css html,,,,,,,,
3272865644,Masters,processing d cuda c++ r matlab python,,,machine_learning,,,,,
3284834186,unknown,ml text d c c++ processing java scala python,,aws gcp azure,pytorch tensorflow machine_learning,,,,,
3272928590,unknown,go,,linux,,,,,,
3272933614,unknown,javascript java html,sql,android,,,,,,
3272942480,unknown,javascript java r format,mysql oracle,docker kubernetes,react,spring angular,,,,
3272952780,unknown,c javascript asp,sql,,,,visual_studio,,,
3272956598,unknown,,,,,,,,,tableau
3272957639,unknown,format,,linux,,,,,,
3272957643,unknown,format,,,,,,,,
3273011736,unknown,python css powershell javascript html,sql,azure windows docker kubernetes,react,flask jquery,,,,
3272957647,unknown,format,,,,,,,,
3272958876,unknown,,sql,,,,,jira,selenium,
3272976498,unknown,r c d,,linux,,,,,,
3273002723,Bachelors,css processing javascript html,sql,azure google_cloud_platform,,angular,,,,
3284834195,Bachelors,ml processing d c c++ java scala python,,aws gcp azure,pytorch tensorflow machine_learning,,,,,
3273116431,unknown,go ml scala puppet java python,mysql sql mongodb elasticsearch,azure docker kubernetes aws,chef ansible etl hadoop machine_learning,,,,jenkins,
3273132133,unknown,r go d,,,,,,,,
3273144754,Bachelors,rich processing java r python,sql redis,aws,spark,,,,,
3273221438,unknown,r python,sql oracle,,machine_learning,,,,,
3273612843,unknown,shell c c++ javascript java html,sql,azure linux windows aws,,,,,,
3273279817,unknown,processing d java scala python,,,tensorflow keras machine_learning,,,,,
3273280377,Bachelors,ruby shell python,,linux docker aws,ansible,,,,jenkins,
3273282828,Bachelors,,,windows,,spring,,jira,,
3273283313,Bachelors,processing c++ javascript java,sql elasticsearch,ios,hadoop machine_learning,,,,,
3273288103,unknown,javascript typescript,mongodb elasticsearch,slack docker aws,react,express angular,,jira,,
3273291393,unknown,processing javascript kotlin java typescript,mongodb elasticsearch,slack docker aws,,express,,jira,,
3273299594,unknown,rich css javascript typescript,,aws,react,,,,,
3273613967,unknown,vue javascript,,,react,angular,,,,
3328737541,unknown,r format d,,,,,,,,
3273360785,unknown,javascript,,docker kubernetes,react,ruby_on_rails,,,,
3273385142,unknown,r python,sql,,machine_learning,,,,,
3273405200,unknown,python go processing c++ javascript java,sql,google_cloud kubernetes,react,,,,,
3273405488,Bachelors,r,,azure aws,hadoop spark machine_learning,,,,,
3273406356,Bachelors,c,sql,windows,,,,,,
3273408030,unknown,,,,unity,,,,,
3273408153,unknown,,,,unity,,,,,
3273413134,unknown,python,sql,docker kubernetes aws,,django,,,,
3273427702,Bachelors,css processing javascript html,sql,azure google_cloud_platform,,angular,,,,
3273449086,unknown,go java,mysql oracle mongodb,,,,,,,
3273701519,Masters,scala ml processing java shell r python,sql,azure linux aws,etl hadoop spark machine_learning,,,,,tableau
3273708611,unknown,c++ javascript java python,oracle sql,ios android,bi,,,,,
3273710419,unknown,python,,,machine_learning etl,,,,,
3273715886,unknown,rich,sql,,,,,,,
3273740485,Bachelors,php c,couchbase,ios android docker aws,unity,,,,jenkins,
3284872961,Bachelors,python powershell java r,postgresql,linux docker aws kubernetes,chef ansible etl machine_learning,,,,,
3328737548,unknown,r format processing d,,,,,,,,
3273449500,unknown,r processing d,,,machine_learning,,,,,
3273449949,unknown,processing c c++,,linux windows,,,,,,
3273461388,unknown,,sql,,,,,,,
3273462933,unknown,c c++ java perl r python,,,,,,,,
3273511077,Bachelors,c c++ python,,windows,,,,,,
3273536227,Bachelors,,,,,express,,,,
3273541864,Bachelors,c,sql,,,,,,,
3273923542,unknown,ruby processing perl shell python,dynamodb,linux aws,,,,,,
3273938943,Bachelors,format,,windows linux,,,,,,
3273971952,unknown,c r matlab scheme scala python,,,spark machine_learning,,,,,
3273974336,Bachelors,c r matlab scheme scala python,,,spark machine_learning,,,,,
3274002628,Bachelors,d processing,,,,,,,,
3274032273,Bachelors,javascript,mysql sql mariadb dynamodb,azure aws,react,express angular,,,,
3274081115,unknown,python java scheme,mongodb cassandra elasticsearch,kubernetes,spark machine_learning,,,,jenkins,
3274093452,Bachelors,,,,machine_learning,,,,,
3274787811,unknown,c python,sql,,,,,,,
3274275312,unknown,python,sql redis,docker,,,,,,
3274341540,unknown,css javascript html,,,react,jquery angular,,,,
3274651951,unknown,,,,machine_learning,,,,,
3274682305,unknown,processing,elasticsearch,,hadoop spark machine_learning,,,,,
3274693017,unknown,,oracle sql,,,,,jira,selenium,
3284916065,Masters,r d,,,,,,,,
3274714022,unknown,python ruby puppet,,azure gcp linux docker aws kubernetes,chef ansible,,,,,
3274737170,Bachelors,c go,,aws,,,,,,salesforce
3274738957,unknown,c++ qml,,,,,,,,
3284937003,unknown,r d,,,,,,,,
3274752799,unknown,javascript,mysql sql oracle,,react,,,,,
3274761875,unknown,java python,sql,azure gcp aws,bi hadoop,,,,,qlik powerbi tableau
3274765833,unknown,swift c,,ios,,,,,,
3274766679,unknown,scala java python,,,,,,,,
3274767305,unknown,go,,,,,,,,
3329074724,unknown,go,,,,,,,,
3329075753,unknown,go r,sql,,pandas machine_learning,,,,,
3274812172,unknown,c++ python,,linux,,,,,,
3274850788,Bachelors,reason,,android ios,,express,,,,
3274886309,Masters,processing,,,,,,,,
3274895794,unknown,scala java python,,,machine_learning,,,,,
3274895828,unknown,r python,,,spark,,,,,
3274907800,unknown,java python,sql,azure gcp aws,bi hadoop,,,,,qlik powerbi tableau
3274958996,Bachelors,go r python,sql,,,,,,,tableau
3329075786,unknown,swift scheme python,mysql sql mariadb cassandra postgresql,linux docker,ansible,,,,,
3275012419,unknown,scheme d,,,,,,,,
3275051825,Bachelors,,sql,,bi,,,,,
3275063862,Bachelors,r matlab python,,,,,,,,powerbi tableau
3275067352,Bachelors,,sql,windows,,,,,,
3338592808,unknown,ml,,,machine_learning,,,,,
3275108590,unknown,r html d,,,,,,,,
3275117452,unknown,java,,android linux,,,,,,
3275166229,Bachelors,powershell,sql,windows,,,,,,
3275202366,unknown,java python,sql,,etl,,,,,tableau
3275208751,unknown,processing java,postgresql sql redis dynamodb elasticsearch,aws,spark machine_learning,spring,,,,
3275222170,unknown,cuda c++ python,,linux,tensorflow machine_learning,,,,,
3275240433,unknown,d,,,,express,,,,
3400372434,Bachelors,d go processing,,,,,,,,
3400373459,Masters,processing,,gcp,,,,,,
3400946966,Bachelors,java,oracle sql,,machine_learning,,,jira,,
3275257417,unknown,,sql,,,,,,,
3275258002,unknown,go puppet d java shell python,mysql elasticsearch,docker aws,ansible,,,,,
3275258278,unknown,java,sql elasticsearch,azure google_cloud aws,,,,,,
3275267122,unknown,python go scala ml processing c++ javascript java,sql mongodb cassandra,azure docker aws kubernetes,hadoop spark machine_learning,,,,,
3275271488,unknown,r scala python,sql,aws,spark machine_learning,,,,,
3275295669,Bachelors,,,,,,,,,salesforce
3275499678,unknown,c javascript,mysql dynamodb,docker aws,react,,,,,
3275500023,unknown,python java scala jupyter,,,pandas spark machine_learning,,,,,
3275642403,unknown,python go scala ml processing c++ javascript java,sql mongodb cassandra,azure docker aws kubernetes,hadoop spark machine_learning,,,,,
3275663962,unknown,reason text processing c scheme,,,chef,,,,,
3275706170,unknown,css javascript html,,docker aws,,angular,,,,
3401887130,Bachelors,reason,,ibm,,,,,,tableau
3275818171,unknown,css javascript html,,docker aws,,angular,,,,
3276413759,unknown,processing format python,sql,ibm,,,,,,tableau
3276475883,unknown,reason,,ibm,,,,,,
3276487380,unknown,html cmake php css javascript shell python,,linux windows docker kubernetes,,,,jira,jenkins,
3276495272,unknown,kotlin java,,android,,,,,,
3276495309,unknown,python,sql,aws,pytorch tensorflow keras spark machine_learning,,,,,
3276495312,unknown,javascript java,redis dynamodb cassandra postgresql,azure gcp aws,,ruby_on_rails,,,,
3276495313,unknown,ruby go nix python,dynamodb postgresql,docker kubernetes aws,chef ansible,,,,,
3276495339,unknown,c c++ python,,linux,,,,,,
3276495388,unknown,,,aws,machine_learning,,,,,
3276495419,unknown,go,,,,,,,,
3276495420,unknown,go,,,,,,,,
3276495481,unknown,java python,redis dynamodb cassandra postgresql,,,ruby_on_rails,,,,
3276495657,unknown,kotlin java,,android,,,,,,
3276495660,unknown,javascript java,redis dynamodb cassandra postgresql,,,ruby_on_rails,,,,
3276495748,unknown,processing,sql,,,,,,,salesforce
3276505042,unknown,processing,sql,,,,,,,
3276505044,unknown,c c++ java python,sql,linux aws,machine_learning,,,,,
3276505154,Bachelors,go c c++ java scala,sql,aws linux,machine_learning,,,,,
3276505187,Bachelors,,,aws,machine_learning,,,,,
3276511095,unknown,r d,,,,,,,,
3276513303,unknown,r python,,,machine_learning,,,,,
3276528720,unknown,ml processing r python,sql,,machine_learning,,,,,
3276569484,unknown,php css javascript java html,mysql sql mariadb,,,jquery drupal,,,,
3276590288,Bachelors,ml java python,sql,azure gcp google_cloud aws,hadoop spark etl,,,,,
3276658817,unknown,processing r python,sql,,bi,,,,,tableau
3276691847,Bachelors,go,,,machine_learning,,,,,salesforce
3276700867,Bachelors,r python,sql,,,,,,,tableau
3276700871,unknown,go,,,,,,,,
3276714336,Bachelors,,,windows azure,,,visual_studio,,,
3276715772,unknown,c c++ java python,sql,linux aws,machine_learning,,,,,
3276854656,Bachelors,r python,sql,windows,,express,,,,
3276926983,Bachelors,c javascript java html asp,mysql sql,,react,,visual_studio,,,
3276929088,unknown,go assembly,,,,,,,,
3276959427,unknown,rich d r,sql mongodb cassandra elasticsearch,docker aws,chef ansible spark,,,,jenkins,
3276967706,unknown,rich d javascript java python,,,,,,,,
3276970277,Bachelors,,,,bi,,,,,
3276970782,unknown,python java javascript,,,,,,,,
3276994311,unknown,rich css javascript html typescript,sql,,,angular,,,,
3277004628,Bachelors,c c++ assembly perl python,,linux windows,,,,,,
3277047927,unknown,ruby css javascript html elixir clojure,,aws,react,ruby_on_rails,,,,
3277047928,unknown,ruby javascript elixir clojure,cassandra,aws,react,angular ruby_on_rails,,,,
3277316942,unknown,css javascript java vue,,,react,,,,,
3277367196,Bachelors,go,,,,,,,,
3401003052,Bachelors,r,sql,,,,,,,powerbi
3277525312,unknown,java,sql oracle,linux windows,,,,,,
3277541547,Bachelors,r d go processing,,,,,,,,
3277541603,unknown,,,,react,,,,,
3277581577,Bachelors,postscript go php processing c c++ javascript java asp,,ios android,,jquery,,,,
3277581701,unknown,c swift java,,ios android,,,,,,
3280647038,unknown,go,,,,,,,,
3277617456,unknown,go assembly,,,,,,,,
3277694540,unknown,go,,,,,,,,
3277703893,unknown,ruby go processing perl vue python,mysql mongodb postgresql,linux docker,,,,,jenkins,
3277737139,unknown,go ml c++ java r scala python,,,tensorflow keras spark machine_learning,,,,,
3277756780,unknown,vhdl processing c c++ python,,,,,,,,
3277758253,unknown,,,,,,,,,powerbi
3277809813,unknown,d processing c c++ cuda java r,,docker kubernetes,pytorch tensorflow keras machine_learning,,,,,
3277881427,unknown,,,,,,,,,tableau
3277909397,unknown,javascript java python,sql elasticsearch,azure linux google_cloud docker aws,,,,,,
3277925314,Bachelors,c python,postgresql mysql sql cassandra elasticsearch,azure docker aws,hadoop spark,,,,,
3277932675,unknown,shell r python,sql,,hadoop spark machine_learning,,,,,
3277959487,unknown,rich go d r python,mongodb cassandra,aws,,,,,,
3278067571,Masters,matlab assembly python,,,machine_learning,,,,,
3278102773,Bachelors,,,,,,,,,salesforce
3278126499,unknown,asp c c++,,,,,,,,
3278132300,Bachelors,scheme,,,,,,,,
3278132742,unknown,processing,,,,,,,,
3278147061,Bachelors,asp c,sql,,,,,,,
3278154784,Bachelors,,,linux aws,,,,,,
3278154874,Bachelors,,,aws,,,,,,
3278157086,unknown,r d,,,,,,,,
3278158104,Bachelors,processing,,,,,,,,
3278182186,unknown,processing d c++ r,,linux,,,,,,
3278184315,unknown,python processing,mysql postgresql,,,,,,,
3278192778,Bachelors,,,,,,,,,salesforce
3278194612,unknown,shell,oracle sql,,bi etl,,,,,
3278194972,Bachelors,ruby php python,mysql sql mongodb postgresql,,,,,,,
3278194974,unknown,python,,linux windows docker aws kubernetes,pytorch tensorflow ansible machine_learning,,,,,
3401954360,unknown,format scheme,,,,,,,,
3278204202,unknown,go php c javascript kotlin java python,firebase mysql postgresql,gcp docker kubernetes,cordova,angular,zend,,,
3278204240,Bachelors,,,slack,,,,,,
3278214380,unknown,c++ perl,,linux,,,,,,
3278238148,Bachelors,c,,,,,,,,
3278240559,Bachelors,css powershell javascript java html,sql oracle,,machine_learning,,,,,
3278241361,unknown,go processing html,,,,,,,,
3401003369,unknown,c d,,,,,,,,
3278241362,unknown,go processing html,,,,,,,,
3278241894,unknown,,,,,,,jira,,
3278242751,unknown,,,,bi,,,,,
3278244122,unknown,d,,,,,,,,
3278260728,Bachelors,c c++ java python,,linux,machine_learning,,,,,
3278349665,Bachelors,go r python,sql,,chef,,,,,
3355719694,unknown,javascript css html,,,,,,,,
3278352912,unknown,processing cuda c++ python,,,pytorch tensorflow,,,,,
3278356610,unknown,python go puppet,,linux docker aws kubernetes,ansible,,,,,
3278404336,unknown,c powershell,,azure,,,visual_studio,,,
3278471903,unknown,scala processing java python,,aws,pandas machine_learning,,,,,
3355719904,unknown,go,,,,,,,,
3278496059,unknown,tcl d c++ perl shell r,,,,,,,,
3278498695,unknown,r,,,,,,,,
3278510774,Bachelors,c format java,sql,,,,,,,
3278529193,unknown,processing c d java r scala python,sql oracle dynamodb,aws,bi machine_learning spark etl,angular,,,,
3278552636,unknown,c java scheme python,sql oracle,ios android windows,react cordova,,,,,
3355802339,unknown,go processing java haskell scheme scala purescript,,aws docker kubernetes,,,,,,
3278668227,unknown,c++ java r scala,sql,,machine_learning,,,,,
3278668704,unknown,,,,bi,,,,,
3278675283,unknown,rich jupyter python,sql,azure gcp aws,pandas machine_learning,,,,,plotly
3278686289,Bachelors,c javascript python,,ios azure android google_cloud_platform aws,react,jquery,,jira,,
3278703783,unknown,ruby kotlin java,,gcp docker kubernetes,,,,,,
3278713690,unknown,processing java,postgresql sql redis dynamodb elasticsearch,aws,spark machine_learning,spring,,,,
3278748498,Bachelors,go,,,,,,,,
3278775633,unknown,d c++ javascript perl,mysql,linux,react,angular,,,,
3278792442,Bachelors,text java python,postgresql,aws,,spring angular,,,,
3278792445,Bachelors,text java python,postgresql,aws,,spring angular,,,,
3278793021,Bachelors,r python,,,,,,,,
3278793559,unknown,scala java python,sql dynamodb elasticsearch,aws,bi etl spark machine_learning,,,,,powerbi tableau
3278842204,unknown,,sql oracle,docker aws,chef,,,,jenkins,tableau
3278863008,unknown,c,,linux,,,,,,
3278973940,Bachelors,rich go,,,machine_learning,,,,,sisense
3279065012,Bachelors,r python,,,,,,,,
3279065159,unknown,c java text,,android,,,,,,
3279106487,unknown,rich jupyter python,sql,azure gcp aws,pandas machine_learning,,,,,plotly
3279108505,unknown,rich go scala python,sql,,,,,,,
3279108924,unknown,c,sql,ios android,xamarin,,,,,
3279135936,Bachelors,erlang d c c++ javascript java elixir scala python,oracle,aws linux azure google_cloud_platform,,,,,,
3279142485,unknown,processing c c++ java html,,linux aws,,,,,jenkins,
3279149683,unknown,javascript css html,,,,,,,,
3279160981,unknown,ml java,,,,,,,,
3279172560,Masters,processing c c++ assembly,,linux,,,,,,
3279222610,unknown,python c processing,,,,,,,,
3279228598,Bachelors,scheme,,,,,,,,
3401006489,Bachelors,go ml d python,sql,azure aws,keras hadoop spark machine_learning,,,,,
3279301376,unknown,c python,sql,,,,,,,
3279316360,unknown,go python,sql,aws,pytorch tensorflow hadoop spark machine_learning,,,,,
3279419440,unknown,,sql,,bi,,,,,tableau looker
3279419470,unknown,ruby powershell,,linux windows,chef ansible machine_learning,,,,,
3279419672,Masters,,sql,,machine_learning,,,,,
3279423569,unknown,go java,sql,linux,,,,trello jira,,
3279589510,unknown,java,,,,,,jira,,
3279607116,Bachelors,go scheme,sql,,,,,,,
3280044111,unknown,format processing,,,,,,,,salesforce
3280047865,unknown,processing c c++ scheme python,,,machine_learning,,,,,
3280071249,unknown,go processing python,redis,aws,react machine_learning etl,django,,,,
3280074155,unknown,go d perl python,elasticsearch,docker kubernetes,ansible hadoop spark,,,,,
3281046118,unknown,css javascript html vue,,,react,jquery,,,,
3279753977,unknown,css javascript html,mongodb,,react,,,,,
3279765239,unknown,java processing,sql,,,,,,,
3279770813,unknown,d processing,,,machine_learning,,,,,
3279798389,unknown,c c++ format python go processing java puppet scala,redis cassandra elasticsearch,linux kubernetes azure docker aws gcp,ansible spark chef,,,,jenkins,
3279799543,unknown,,,,machine_learning,,,,,
3279818541,unknown,java processing,sql,,,,,,,
3279818580,Bachelors,c,sql,,etl,,,,,
3279821778,unknown,processing javascript java scala python,,aws,,,,,,
3279821887,unknown,go d c eagle r scheme python,sql,,react,,,,,
3279836537,unknown,c,,,,,,,,salesforce
3279844156,Masters,c++ java perl groovy r matlab python,mysql sql,,machine_learning,,,,,tableau
3279846916,unknown,r,,,machine_learning,,,,,
3279847189,unknown,,,,bi,,,,,
3279868488,unknown,,,linux,,,,,,
3279906520,unknown,php d c javascript kotlin java scala typescript python,,aws azure docker kubernetes,react machine_learning hadoop spark,angular,,,,
3279911972,Bachelors,r python,sql,,,,,,,tableau
3279930896,unknown,r c matlab python,,,,,,,,
3279940826,unknown,,sql,,,,,,,
3280640472,unknown,javascript java groovy,mysql sql mongodb,,react machine_learning,spring angular,,,jenkins,
3281046123,unknown,puppet css apex,,kubernetes,ansible,,,,,salesforce
3281047301,unknown,css javascript html,,,react,jquery,,,,
3279966802,Bachelors,c,sql,,etl,,,,,
3279978846,unknown,processing c c++ shell r python,,gcp azure ibm aws,tensorflow keras machine_learning,,,,,
3280015262,unknown,puppet,,linux docker aws kubernetes,ansible hadoop machine_learning,,,,jenkins,
3280026844,unknown,javascript,redis dynamodb,docker aws kubernetes,,,,,,
3280026858,unknown,go python,,linux,,,,,,
3280027077,unknown,reason,,,,,,,,
3280119514,unknown,processing c c++ java scala python,,docker google_cloud_platform,machine_learning,,,,,
3280207190,Bachelors,perl shell format python,mysql,ibm azure linux,hadoop spark machine_learning,,,,,
3280385420,unknown,d c++ java python,,,machine_learning,,,,,
3281258352,unknown,abl,,,,,,,,
3281305603,unknown,python,,google_cloud,,django,,,,
3281310658,unknown,tcl d r python,,linux,,,,,,
3280400733,unknown,processing,,,,,,,,
3280461187,unknown,processing c++ python,cassandra,linux,hadoop spark machine_learning,,,,,
3280480609,Bachelors,,,azure,,,,,,
3280509227,unknown,reason,,,,express,,,,
3280513791,unknown,,,,machine_learning,,,,,salesforce
3280521871,unknown,ruby php puppet c java perl python,dynamodb,azure kubernetes google_cloud_platform docker aws,chef,,,,,
3280564531,unknown,go ml,,,machine_learning,,,,,
3280586742,unknown,processing,,,,,,,,
3280637249,unknown,javascript html r scala python,sql,ibm linux,bi react hadoop spark,angular django,,,,tableau
3280727887,unknown,c++ processing,,,machine_learning,,,,,
3280752340,unknown,processing c c++ matlab python,,,,,,,,
3280785968,unknown,d,,,,,,,,
3280786389,Bachelors,go processing c java python,,azure aws,bi machine_learning,angular,,,,
3280787569,unknown,c xslt,,,,,,,,
3280798198,unknown,ml,,kubernetes,machine_learning,,,,,
3280809436,unknown,ruby javascript,mysql,aws,,,,trello,jenkins,
3280810761,Bachelors,d c c++ r,,azure aws,,,,,,
3281483338,Bachelors,,,windows linux aws,,,,,,
3281497282,Bachelors,r d python processing,,,,,,,,
3280827476,unknown,go kotlin java elixir scala python,cassandra elasticsearch,linux docker,ansible hadoop spark etl,ruby_on_rails,,,,
3280834294,unknown,python,sql,,,,,,,
3280945082,Bachelors,,oracle,,,,,,,salesforce
3280946804,unknown,rich java python,,docker aws,,,,,,
3281064498,unknown,python,sql,,,,,,,
3281096513,unknown,c c++ python,,,tensorflow machine_learning,,,,,
3281112233,Bachelors,c javascript,,windows,,,xcode visual_studio,jira,jenkins,
3281164867,Bachelors,r d,,,,,,,,
3281248142,Bachelors,r html,,,,,,,,
3401007085,Bachelors,javascript html asp typescript,sql,,machine_learning,jquery,visual_studio,,,
3281338595,unknown,php ml text processing c c++ java python,,,machine_learning,,,,,
3281346860,unknown,go ocaml d javascript r scala typescript,,azure kubernetes,react machine_learning,,,,,
3281371791,unknown,puppet perl python,mysql sql oracle,,ansible,,,,,
3281387449,unknown,r scheme d,,,,,,,,
3281394509,unknown,tsql,sql oracle,azure aws,bi,,,,,tableau
3281430113,Bachelors,c++ java python,,,spark machine_learning,,,,,
3281431337,unknown,fortran processing d c++ perl r python,,,,,,,,
3281431565,unknown,r d,,,,,,,,
3281521062,Bachelors,,sql,aws,etl,,,jira,,
3281521073,Bachelors,,sql,aws,etl,,,jira,,
3281583640,unknown,d powershell r,sql redis cassandra,aws,ansible,,,,,
3281638284,unknown,,sql,,etl,,,,,powerbi
3281652324,unknown,scheme,,,bi,,,,,tableau
3281663710,unknown,scheme,sql,,,,,,,
3283280146,unknown,processing r matlab python,sql mongodb cassandra,,machine_learning,,,,,tableau powerbi
3281877218,unknown,,,google_cloud_platform,machine_learning,,,jira,,
3281892170,unknown,,,azure gcp docker kubernetes,,express,,,,salesforce
3282038815,unknown,scheme,,,,,,,,
3282283848,Bachelors,,sql,,bi etl,,,,,tableau
3282549062,Bachelors,html,,azure aws,,,,,,
3283416781,unknown,d r scala python,sql,,machine_learning,,,,,
3282645874,unknown,python,sql elasticsearch,,tensorflow spark machine_learning,,,,,
3282697016,unknown,c format,,aws,,,,,,
3282779662,unknown,c c++ java python,sql redis mysql,azure linux google_cloud aws,,,,,,
3282780555,unknown,,,,,,,jira,,
3282801782,Masters,rich c c++ javascript scheme python,,aws,,express,,,,
3282819997,unknown,ruby css javascript java typescript python,,docker aws,,angular,,,jenkins,
3282864854,unknown,c javascript,sql,azure aws,xamarin,jquery,,jira,,
3282883885,unknown,php,,,machine_learning,,,,,
3282977344,Bachelors,c++ xslt java,sql oracle,windows,,,,,,
3283519294,unknown,c python,,,,,,,,
3283522620,unknown,scala processing java python,sql,aws,bi hadoop spark machine_learning,,,,,
3401955319,unknown,javascript,mongodb redis,docker kubernetes,react machine_learning,express,,,,
3283000327,unknown,c c++ shell scheme python,,linux windows,ansible,,,jira,jenkins,
3283006456,unknown,,sql,,,,,,,
3283065261,Masters,,,windows,,,,,,
3283068095,unknown,r scala python,,,tensorflow hadoop spark,,,,,
3283187162,unknown,,,android,,,,,,
3283316869,unknown,go python,sql,,machine_learning,,,,,
3283324909,Bachelors,c++,sql,,,,,,,
3283324968,unknown,c python,,,,,,,,
3283333359,Bachelors,processing,,,,,,,,
3283333387,Bachelors,processing,,,,,,,,
3283335232,Bachelors,python java shell perl,mysql oracle,linux docker aws kubernetes,chef,,,,,
3283341972,unknown,r python,sql,,,,,,,
3283344273,unknown,ruby javascript,,docker,,,,,,
3283345084,unknown,ml,,,machine_learning,,,,,
3284043240,unknown,go,,,,,,,,
3283404513,unknown,processing asp scheme,sql mongodb oracle,ibm azure windows,,,,,,
3283430836,unknown,r python,sql,,,,,,,tableau
3283431020,unknown,d processing javascript java,mysql redis,,react,,,,,
